Date,axis,hcl,hdfc,icici,indus,infy,kotak,sbi,techm,wipro,yes,tcs
2013-06-18,257.320007,389.899994,657.450012,198.354996,477.600006,611.638000,381.399994,204.360001,244.462006,170.600006,95.029999,1443.800049
2013-06-19,257.010010,389.875000,665.200012,197.582001,478.450012,609.588013,383.075012,204.580002,253.074997,171.750000,95.639999,1427.699951
2013-06-20,247.960007,379.924988,636.599976,190.209000,449.250000,592.275024,369.299988,199.755005,246.087006,173.750000,91.900002,1404.5
2013-06-21,251.940002,379.375000,635.250000,189.973007,464.299988,604.687988,364.750000,198.910004,248.875000,174.199997,90.550003,1422.25
2013-06-24,248.610001,380.375000,625.349976,190.755005,453.700012,595.099976,346.850006,194.845001,250.500000,173.274994,88.180000,1410.699951
2013-06-25,246.289993,375.524994,634.000000,187.791000,471.700012,593.474976,359.149994,190.779999,252.462006,171.875000,89.529999,1392.300049
2013-06-26,249.679993,383.524994,622.849976,186.572998,455.200012,599.849976,344.125000,190.005005,259.700012,174.050003,89.690002,1437.699951
2013-06-27,255.009995,397.700012,646.500000,187.373001,455.649994,620.700012,351.049988,191.250000,270.200012,173.550003,88.660004,1491.900024
2013-06-28,265.040009,388.000000,669.500000,194.682007,467.450012,624.713013,361.100006,195.380005,264.950012,174.500000,92.220001,1518.150024
2013-07-05,257.609985,397.825012,667.750000,191.190994,475.049988,614.049988,351.325012,189.445007,259.662994,175.475006,93.059998,1471.599976
2013-07-08,250.509995,409.399994,660.450012,186.899994,492.200012,617.036987,346.125000,187.320007,261.424988,177.750000,93.360001,1822.699951
2013-07-10,251.350006,419.799988,659.299988,188.826996,495.950012,625.286987,363.174988,187.630005,269.812012,182.425003,95.239998,2089.75
2013-07-11,257.549988,420.325012,683.250000,192.354996,510.700012,632.088013,372.899994,191.134995,266.612000,182.000000,97.309998,2121.949951
2013-07-15,261.779999,437.625000,695.450012,192.917999,506.350006,685.674988,378.725006,191.229996,277.975006,190.949997,100.070000,1641.75
2013-07-16,246.169998,438.500000,678.700012,182.445007,466.399994,682.200012,356.424988,182.764999,273.100006,187.699997,90.190002,1649.349976
2013-07-17,238.740005,437.625000,662.900024,178.227005,453.899994,687.713013,355.700012,180.669998,273.600006,193.550003,85.370003,1678.5
2013-07-18,247.639999,429.424988,684.099976,178.990997,465.000000,700.187988,355.850006,182.425003,272.825012,192.925003,88.089996,1660.400024
2013-07-19,238.380005,446.125000,680.000000,174.417999,445.000000,711.862000,345.424988,181.130005,283.075012,195.699997,84.919998,1742.800049
2013-07-22,240.020004,445.125000,682.049988,177.173004,459.049988,719.187988,350.325012,182.470001,292.924988,196.475006,84.779999,1746.5
2013-07-23,240.570007,450.225006,683.599976,179.936005,462.950012,725.487000,365.049988,186.095001,294.787994,192.100006,87.730003,1749.800049
2013-07-24,225.029999,450.049988,659.950012,173.054993,423.549988,727.150024,344.725006,180.125000,301.912994,196.175003,76.669998,1782.800049
2013-07-25,225.449997,451.200012,653.849976,169.973007,422.450012,728.825012,342.575012,179.815002,294.924988,188.125000,74.739998,1795.75
2013-07-26,221.500000,451.899994,644.099976,169.373001,420.149994,728.325012,339.975006,176.524994,304.437988,190.975006,73.419998,1774.5
2013-07-29,219.649994,448.399994,632.500000,168.835999,412.450012,730.299988,330.950012,174.005005,312.149994,204.024994,72.690002,1779.199951
2013-07-30,218.600006,452.825012,625.349976,168.373001,398.700012,738.924988,325.174988,172.330002,308.062012,209.399994,69.739998,1792.300049
2013-07-31,206.910004,468.774994,609.750000,165.281998,387.450012,742.411987,326.174988,170.839996,311.575012,219.000000,64.800003,1815.5
2013-08-05,224.869995,474.825012,632.700012,164.082001,390.899994,752.263000,330.450012,168.225006,315.950012,224.625000,59.919998,1480.099976
2013-08-07,213.750000,453.299988,601.200012,157.863998,372.149994,740.838013,320.450012,171.610001,307.350006,225.524994,58.720001,1506.650024
2013-08-08,217.119995,452.950012,610.500000,159.100006,375.200012,741.138000,326.375000,166.414993,311.162994,223.574997,56.610001,1845.400024
2013-08-13,228.550003,470.299988,620.500000,162.281998,384.250000,770.900024,329.549988,161.994995,332.763000,233.800003,61.939999,1819.800049
2013-08-14,229.919998,460.100006,621.349976,164.718002,380.649994,767.411987,330.649994,162.440002,330.287994,230.050003,58.290001,1833.5
2013-08-16,209.789993,460.500000,587.900024,156.108994,356.399994,744.599976,316.125000,157.059998,331.112000,228.250000,51.660000,1780.900024
2013-08-19,197.600006,465.725006,584.700012,148.244995,339.950012,751.250000,310.399994,153.050003,323.500000,228.225006,48.299999,1777.449951
2013-08-20,196.259995,449.575012,584.750000,150.981995,337.299988,751.661987,317.100006,155.404999,312.450012,224.125000,48.560001,1736.400024
2013-08-21,195.589996,442.950012,593.349976,150.826996,358.850006,739.687988,312.274994,154.800003,309.937988,220.975006,51.009998,1717.800049
2013-08-22,193.929993,451.174988,588.700012,151.108994,366.399994,755.049988,315.299988,156.475006,317.725006,222.350006,48.500000,1778.949951
2013-08-23,196.300003,473.174988,607.549988,155.100006,370.149994,750.174988,321.274994,155.910004,341.549988,224.100006,51.849998,1829.449951
2013-08-26,186.820007,472.274994,611.299988,150.990997,374.549988,757.674988,316.575012,155.725006,344.912994,229.550003,52.240002,1842
2013-08-27,175.529999,473.850006,561.900024,145.927002,345.250000,764.013000,306.774994,152.000000,340.725006,227.475006,47.160000,1838.800049
2013-08-28,167.589996,490.075012,561.950012,144.791000,344.549988,779.062012,303.325012,149.785004,342.562012,235.725006,45.169998,1907.900024
2013-08-29,170.149994,508.825012,572.049988,146.764008,353.049988,776.150024,323.725006,148.779999,341.388000,236.725006,46.500000,1947.099976
2013-08-30,166.589996,520.224976,594.000000,146.136002,356.750000,776.463013,329.799988,151.895004,343.750000,241.800003,48.669998,2033.199951
2013-09-04,160.300003,519.650024,564.049988,148.682007,366.899994,778.174988,304.250000,149.419998,349.799988,240.649994,47.209999,1497.400024
2013-09-05,185.500000,509.950012,609.500000,162.490997,397.500000,751.200012,331.000000,163.815002,345.600006,234.449997,57.500000,1498.449951
2013-09-10,199.660004,531.325012,638.000000,176.291000,409.750000,789.724976,354.225006,163.350006,339.200012,236.024994,61.380001,2090.850098
2013-09-12,203.990005,537.174988,633.950012,172.945007,397.100006,766.463013,350.250000,165.839996,327.837006,235.949997,56.240002,2004.849976
2013-09-13,211.919998,522.875000,629.200012,171.264008,400.100006,757.013000,358.000000,166.110001,322.325012,227.750000,56.240002,1953.75
2013-09-16,217.509995,498.200012,642.799988,176.354996,414.450012,748.349976,355.549988,164.634995,319.537994,225.850006,58.340000,1902.550049
2013-09-17,210.710007,518.575012,642.250000,174.990997,401.649994,755.650024,354.625000,163.365005,328.200012,237.475006,60.180000,1947.449951
2013-09-18,215.919998,514.400024,650.500000,176.927002,412.299988,754.286987,357.424988,167.365005,328.475006,240.350006,63.169998,1954.5
2013-09-19,228.039993,512.000000,683.200012,188.408997,434.399994,754.750000,385.825012,180.774994,323.725006,236.000000,77.339996,1966.300049
2013-09-20,220.470001,530.900024,659.049988,179.500000,411.500000,748.786987,374.100006,174.755005,324.100006,237.449997,71.209999,1950.300049
2013-09-23,206.009995,545.500000,641.950012,171.509003,386.000000,754.849976,359.649994,165.464996,331.600006,241.750000,65.459999,1955.099976
2013-09-24,205.110001,536.299988,638.450012,171.791000,388.200012,753.775024,360.049988,164.494995,334.274994,238.925003,63.779999,1939.5
2013-09-25,206.809998,531.500000,620.599976,170.035995,383.450012,752.411987,354.649994,169.264999,333.950012,237.774994,62.820000,1959.050049
2013-09-26,206.270004,526.125000,621.150024,172.018005,383.399994,753.075012,351.700012,167.610001,328.399994,239.125000,63.160000,1942.900024
2013-09-27,206.179993,536.375000,608.900024,167.873001,375.649994,751.650024,341.424988,164.070007,326.612000,237.925003,60.919998,1948.099976
2013-09-30,201.570007,543.599976,593.049988,160.664001,368.750000,753.250000,339.049988,161.490005,333.937988,236.524994,57.470001,1927.800049
2013-10-04,218.509995,548.400024,640.450012,169.199997,396.200012,754.099976,347.774994,165.065002,350.174988,241.475006,63.070000,1530.449951
2013-10-07,214.369995,559.674988,634.299988,166.582001,397.200012,755.463013,343.375000,163.304993,360.812012,241.000000,63.110001,1511.949951
2013-10-09,215.860001,555.900024,649.150024,172.800003,411.000000,777.463013,359.399994,160.899994,369.013000,238.625000,68.150002,1987.900024
2013-10-10,213.250000,558.825012,641.049988,172.373001,415.450012,781.900024,352.850006,163.294998,378.274994,240.074997,68.449997,2080
2013-10-14,221.820007,579.924988,667.500000,181.300003,427.500000,831.088013,349.299988,165.720001,389.712006,250.550003,69.730003,2212.75
2013-10-15,216.289993,580.575012,652.450012,177.190994,407.450012,838.700012,341.450012,162.279999,395.899994,255.300003,66.220001,2215.399902
2013-10-17,219.270004,541.525024,654.200012,175.436005,389.149994,817.125000,338.424988,162.130005,382.450012,247.500000,67.160004,2108.449951
